sect_id,sect_name,headquarter_name,headquarter_desc
"与 sect.csv 的 id 对应","宗门名","宗门驻地名称","宗门驻地描述"
1,明心剑宗,连霞山,连霞山坐忘峰下，是名门仙山的主峰。山上设有弟子修炼之地，环境清幽。
2,百兽宗,玄灵洞,玄灵洞位于十万大山深处，洞府依托一座千丈高的灵山开凿而成，洞口宽达百丈，形似猛兽张口。洞内纵横交错，共有九十九层洞天，每层都驯养着不同品阶的灵兽妖兽。
3,水镜宗,碧波湖,水镜宗建于碧波湖心的三座仙岛之上，湖水清澈如镜，终年波澜不兴。三岛之间以水晶长桥相连，宫殿楼阁皆为水晶琉璃所筑，通体透明，倒映湖中，虚实难辨。
4,冥王宗,七鬼角,冥王宗位于七鬼角群岛上，宗门四面临海，周围暗礁密布，巨浪狂潮起落之间，在暗礁周围生成无数令人望而生畏的暗流漩涡。群岛周围千万年来投入了多少凶魂厉鬼，海浪起啸之时，万鬼齐哭，遮天蔽日。
5,朱勾宗,明玉山,明玉山通体由罕见的明玉石构成，山体呈现出诡异的青白色泽，在月光下更是泛着幽冷的光芒。山中宫殿楼阁皆为玉石所筑，看似华丽却处处暗藏杀机。殿宇之间机关重重，暗道密布。
6,合欢宗,桃花岛,合欢宗坐落于东海桃花岛上，岛上四季桃花盛开，永不凋零，花瓣随风飘舞，铺满整座仙岛。宗门建筑以粉红色调为主，雕梁画栋，极尽奢华。殿宇楼阁之间云雾缭绕，隐约可见成双成对的弟子在其间修炼。
7,镇魂宗,落魂海,位于极南海上。镇魂海常年有妖兽作乱，海域凶险。宗门建筑立于海中礁岛之上，以镇魂钟为中心，钟声可震慑方圆千里之内的妖魂。
8,幽魂噬影宗,鬼门湖,鬼门湖位于原始森林深处，重重大山围拢的平原地带。参天巨木、缠绕藤蔓、终日浮游不散的瘴气，还有因宗门秘法而生就的层层迷雾，将这里与外界完全隔离，透不进一点光来。
9,千帆城,天星海,千帆城建于天星海中央的巨型浮岛之上，整座城池由无数法器拼接而成，城外海面上停泊着数以千计的法器灵舟，帆樯如林，蔚为壮观。城中高塔林立，每座塔顶都有炼器炉火日夜不息，烟柱冲天。
10,妙化宗,心园,四季如春，百花不谢。园内亭台楼阁错落，丝竹之声终日不绝，看似人间仙境，实则暗藏无数音杀禁制。
11,回玄宗,诸隐山,诸隐山云雾缭绕，山势晦暗不明。整座山脉被无数重叠的禁制大阵覆盖，一步一景，一步一险，若无通形令牌，外人踏入半步便会迷失其中。
12,不夜城,大千光极城,常年笼罩在绚丽的极光之下。城池由万年寒冰与玄铁铸就，在漫天极光的映照下流光溢彩，宛如神迹，是极寒之地唯一的温暖所在。
13,天行健宗,浩然峰,位于通玄界中腹，山势雄奇挺拔，直插云霄。峰顶常年白云浩渺，紫气东来，书声琅琅之声可传十里，是天下浩然正气汇聚之地。
14,噬魔宗,陷空山,位于极西之地的险恶山脉，山势如犬牙交错，穷山恶水。山中常有血雾弥漫，怪石嶙峋，随处可见被吸干精血的兽骨枯尸，令人闻风丧胆。
