id,name,rarity,effects,desc,duration_years
,,Rarity(N/R/SR/SSR),,Description,Duration Years
1,Purple Qi from the East,R,{extra_cultivate_exp: 15},"Heavenly spiritual qi is abundant, cultivators' cultivation speed greatly increases, and the desire to cultivate improves",5
2,Year of Golden Malice,R,"{extra_battle_strength_points: 3}","Golden malice fills the world with solemnity, cultivators are more likely to be bloodthirsty and attack each other",5
3,Era of Wood Spirit,R,"{extra_harvest_materials: 2, extra_hp_recovery_rate: 0.5}","Wood virtue nourishes with vitality, harvesting yields double and injuries heal extremely fast, ideal for searching for heavenly materials and earthly treasures everywhere",5
4,Age of Water Virtue,R,"{extra_cultivate_exp: 20, cultivate_duration_reduction: 0.2, extra_retreat_success_rate: 0.15}","Water element flows without hindrance, cultivation efficiency and speed both improve, making it a great time for secluded cultivation",5
5,Era of Fire Calamity,R,"{extra_battle_strength_points: 5, extra_max_lifespan: -20}","Heavenly fire burns and calamity arrives, combat power surges but lifespan drains, one should decide battles quickly to fight for life against heaven",5
6,World of Thick Earth,R,"{damage_reduction: 0.15, extra_max_hp: 150}","Earth virtue is thick and carries all things, the body is resilient and blood qi is full, allowing one to face strong enemies without fear",5
7,Five Elements Chaos,SR,"{extra_cultivate_exp: -10, extra_breakthrough_success_rate: 0.3}","Five elements are out of order and heaven and earth are in chaos, conventional cultivation yields half the result with twice the effort, but bottlenecks loosen and it is suitable to attempt breakthroughs",5
8,Heavenly Dao Balance,SR,"[{when: 'avatar.cultivation_progress.realm.value >= 6', extra_cultivate_exp: -25}, {when: 'avatar.cultivation_progress.realm.value < 6', extra_cultivate_exp: 10}]","Heavenly Dao manifests to take from those who have too much and give to those who have too little, high-level cultivators' progress is hindered, low-level cultivators should seize the opportunity to catch up",5
9,Calamity Approaches,SR,"{extra_battle_strength_points: 5, extra_fortune_probability: -0.005}","Calamity arrives and hostility spreads, although combat power surges, fortune is shallow, one should act cautiously as if walking on thin ice",5
10,Qi Recovery,SSR,"{extra_cultivate_exp: 25, extra_breakthrough_success_rate: 0.1}","Heaven and earth spiritual qi erupts and recovers, cultivation progress advances rapidly, all things compete to grow, suitable for full effort in progress",5
11,Qi Depletion,R,"{extra_cultivate_exp: -20}","Spiritual qi is depleted and the Dharma-ending age approaches, cultivation is like rowing against the current, suitable for saving resources and stabilizing the Dao heart",5
12,Rise of the Demonic Path,R,"[{when: 'avatar.alignment == Alignment.EVIL', extra_battle_strength_points: 5, extra_cultivate_exp: 10}, {when: 'avatar.alignment == Alignment.RIGHTEOUS', extra_battle_strength_points: -5}]","Demonic qi towers and the evil path prospers, demonic cultivators are like fish in water, righteous cultivators should avoid their edge and focus on accumulation",5
13,Righteous Spirit,R,"[{when: 'avatar.alignment == Alignment.RIGHTEOUS', extra_battle_strength_points: 5, extra_cultivate_exp: 10}, {when: 'avatar.alignment == Alignment.EVIL', extra_battle_strength_points: -5}]","Innocent righteous spirit suppresses evil, righteous cultivators are helped as if by gods, demonic cultivators should keep a low profile to avoid bad luck",5
14,Divine Weapon Birth,SR,"{extra_weapon_proficiency_gain: 1.0}","Divine weapons have spirits and all weapons chime, weapon proficiency improves extremely fast, suitable for practicing martial arts and sharpening the edge",5
15,Yin-Yang Harmony,R,"{extra_dual_cultivation_exp: 20}","Yin and Yang harmonize and heaven and earth unite, mutual complement leads to rapid progress, most suitable for finding a Dao companion to share the joy of dual cultivation",5
16,Killing Calamity Descends,SR,"{extra_battle_strength_points: 5, extra_fortune_probability: -0.005}","Blood light reaches the sky and the intent to kill is hard to suppress, although killing power greatly increases, opportunities are cut off, suitable for taking the initiative to prove the Dao through killing",5
17,Era of Peace,R,"{extra_cultivate_exp: -10, extra_fortune_probability: 0.01}","The world is at peace and all things are tranquil, although bitter cultivation is slow, opportunities arise frequently, suitable for traveling the world to find encounters",5
18,Blessed by Luck,R,"[{when: 'any(p.key == ""CHILD_OF_FORTUNE"" for p in avatar.personas)', extra_cultivate_exp: 25, extra_fortune_probability: 0.005}]","Favored by destiny and centered by luck, everything goes well for the chosen one, ordinary people can only look up and not force it",5
19,Blood Moon in the Sky,SR,"{extra_battle_strength_points: 7, extra_cultivate_exp: -10, extra_retreat_success_rate: -0.2}","The blood moon hangs high and hearts are restless, combat power is strong but quiet cultivation is difficult, suitable for plundering resources through battle",5
20,Gate of Ascension,SSR,"{extra_cultivate_exp: 30, extra_breakthrough_success_rate: 0.2}","The heavenly gate opens wide and the Great Dao manifests, comprehension and cultivation are helped as if by gods, it is the time to impact realms and ascend to immortality",7
21,Law Manifestation,SSR,"{extra_breakthrough_success_rate: 0.5}","Heaven and earth laws are clearly touchable, bottlenecks are like paper that can be pierced with a touch, do not miss this heaven-sent opportunity for breakthrough",3
22,Spacetime Turbulence,SSR,"{extra_fortune_probability: 0.005}","Spacetime is out of order and strange phenomena frequently occur, dangerous places also hide supreme opportunities, suitable for seeking wealth in danger and exploring the unknown",5
