item_id,name,realm,type,desc,price,effects
,Name,Realm (Qi Refinement/Foundation Establishment/Core Formation/Nascent Soul),Type (Breakthrough/Lifespan/BurnBlood/Heal),Description,Price,JSON Effects
3001,Qi Refinement Breakthrough Pill,QI_REFINEMENT,Breakthrough,A pill that condenses spiritual qi to help Qi Refinement stage cultivators break through bottlenecks (effect lasts 5 years).,50,"{duration_month: 60, extra_breakthrough_success_rate: 0.1}"
3002,Foundation Establishment Breakthrough Pill,FOUNDATION_ESTABLISHMENT,Breakthrough,A spiritual pill containing the true intent of Foundation Establishment to help Foundation Establishment stage cultivators break through bottlenecks (effect lasts 5 years).,200,"{duration_month: 60, extra_breakthrough_success_rate: 0.1}"
3003,Core Formation Breakthrough Pill,CORE_FORMATION,Breakthrough,Condenses the qi of Core Formation to help Core Formation stage cultivators shatter the core and form the soul (effect lasts 5 years).,500,"{duration_month: 60, extra_breakthrough_success_rate: 0.1}"
3005,Qi Refinement Longevity Pill,QI_REFINEMENT,Lifespan,Refined using common precious herbs, slightly delays aging (limit one pill).,100,{extra_max_lifespan: 5}
3006,Foundation Establishment Longevity Pill,FOUNDATION_ESTABLISHMENT,Lifespan,Refined from heavenly and earthly spiritual herbs, can extend life by ten years (limit one pill).,500,{extra_max_lifespan: 10}
3007,Core Formation Longevity Pill,CORE_FORMATION,Lifespan,Seizes the creation of heaven and earth; mortals die instantly upon consumption, while Core Formation cultivators extend their life by half a cycle (limit one pill).,200,{extra_max_lifespan: 30}
3008,Nascent Soul Longevity Pill,NASCENT_SOUL,Lifespan,Contains a trace of longevity qi, used by Nascent Soul eccentrics to prolong life (limit one pill).,5000,{extra_max_lifespan: 100}
3009,Qi Refinement Blood Burning Pill,QI_REFINEMENT,BurnBlood,"Burns essence blood in exchange for a short burst of power. Combat power increases within 3 years, but meridians are damaged and combat power decreases within 10 years.",50,"[{duration_month: 36, extra_battle_strength_points: 3}, {duration_month: 120, extra_battle_strength_points: -1}]"
3010,Foundation Establishment Blood Burning Pill,FOUNDATION_ESTABLISHMENT,BurnBlood,"A potent medicine to stimulate potential. Combat power increases greatly within 3 years, but weakens within 10 years.",100,"[{duration_month: 36, extra_battle_strength_points: 5}, {duration_month: 120, extra_battle_strength_points: -2}]"
3011,Core Formation Blood Burning Pill,CORE_FORMATION,BurnBlood,"The choice for Core Formation cultivators when fighting for their lives. Combat power surges within 3 years, but severe injury within 10 years.",200,"[{duration_month: 36, extra_battle_strength_points: 7}, {duration_month: 120, extra_battle_strength_points: -3}]"
3012,Nascent Soul Blood Burning Pill,NASCENT_SOUL,BurnBlood,"Burns the Nascent Soul origin. Gains world-destroying power within 3 years, but becomes almost a cripple within 10 years.",300,"[{duration_month: 36, extra_battle_strength_points: 10}, {duration_month: 120, extra_battle_strength_points: -5}]"
3013,Qi Refinement Rejuvenation Pill,QI_REFINEMENT,Heal,A common healing pill that can restore the injuries of Qi Refinement stage cultivators (lasts 5 years).,20,"{duration_month: 60, extra_hp_recovery_rate: 0.5}"
3014,Foundation Establishment Rejuvenation Pill,FOUNDATION_ESTABLISHMENT,Heal,The medicinal power is gentle and mellow, able to quickly heal the physical damage of Foundation Establishment stage cultivators (lasts 5 years).,50,"{duration_month: 60, extra_hp_recovery_rate: 1.0}"
3015,Core Formation Rejuvenation Pill,CORE_FORMATION,Heal,A supreme healing medicine containing the power of vitality (lasts 5 years).,100,"{duration_month: 60, extra_hp_recovery_rate: 2.0}"
3016,Nascent Soul Rejuvenation Pill,NASCENT_SOUL,Heal,Contains the creation of vitality, physical repair is extremely fast (lasts 5 years).,200,"{duration_month: 60, extra_hp_recovery_rate: 5.0}"
