id,key,name,exclusion_keys,desc,rarity,condition,effects
,Key,名称,互斥Key,描述/用于LLM输入的文本,稀有度(N/R/SR/SSR),选取条件,JSON形式
1,RATIONAL,理性,FICKLE;CASUAL,你总是会用逻辑来思考问题，做事会谋定而后动。,N,,{extra_retreat_success_rate: 0.05}
2,FICKLE,无常,RATIONAL;EXTREMELY_RIGHTEOUS;EXTREMELY_EVIL;PENSIVE,目标飘忽不定，不会长期坚持一个目标。,N,,{extra_retreat_success_rate: -0.1}
3,LAZY,怠惰,ADVENTUROUS;EXTREMELY_RIGHTEOUS;EXTREMELY_EVIL,你总是会拖延，不想努力，更热衷于享受人生。,N,,"{extra_cast_success_rate: -0.05, extra_retreat_success_rate: -0.1}"
4,ADVENTUROUS,冒险,LAZY;LIFE_CHERISHING,你总是会冒险，喜欢刺激，总想放手一搏。,N,,
5,CASUAL,随性,RATIONAL;EXTREMELY_RIGHTEOUS;EXTREMELY_EVIL,你总是会随机应变，性子到哪里了就是哪里，没有一定之规。,N,,
6,GREEDY,贪财,,你对灵石和财富有着强烈的渴望。,N,,{extra_item_sell_price_multiplier: 0.1}
7,GATHERER,采集者,,喜欢在山林中寻找各种奇花异草和灵药，对植物有着敏锐的直觉和深厚的兴趣。,R,,{extra_harvest_materials: 1}
8,HUNTER,猎人,,享受在野外追踪猎物的刺激感，对各种动物的习性了如指掌。,R,,{extra_hunt_materials: 1}
9,PENSIVE,沉思,FICKLE,你总是会深思熟虑，思考问题比较有哲理。,N,,{extra_retreat_success_rate: 0.1}
10,LIFE_CHERISHING,惜命,ADVENTUROUS;EXTREMELY_RIGHTEOUS;EXTREMELY_EVIL,你总是会珍惜自己的生命，不会轻易冒险。,R,,{extra_escape_success_rate: 0.15}
11,FRIENDLY,友爱,ALOOF;INDIFFERENT;AGGRESSIVE;VENGEFUL;EXTREMELY_RIGHTEOUS;EXTREMELY_EVIL,你重视同伴与和谐，乐于助人。,N,,
12,VENGEFUL,复仇,FRIENDLY;INDIFFERENT,你绝不轻易放下仇怨，为了复仇愿意付出代价与时间。,N,,
13,ALOOF,孤僻,FRIENDLY,你喜欢独处，避免与人深交。,N,,
14,INDIFFERENT,淡漠,FRIENDLY;VENGEFUL;AGGRESSIVE;EXTREMELY_RIGHTEOUS;EXTREMELY_EVIL,你情感克制，对外界冷静疏离。,N,,
15,AGGRESSIVE,好斗,FRIENDLY;INDIFFERENT;LIFE_CHERISHING;TIMID,你直面冲突，偏好以力量与对抗解决问题。,R,,{extra_battle_strength_points: 1}
16,RASH,鲁莽,RATIONAL;PENSIVE;LIFE_CHERISHING,你行事冲动、少考虑后果，常凭直觉立刻行动。,N,,"{extra_cast_success_rate: -0.05, extra_retreat_success_rate: -0.1}"
17,TIMID,胆小,ADVENTUROUS;AGGRESSIVE;VENGEFUL;EXTREMELY_RIGHTEOUS;EXTREMELY_EVIL,你谨小慎微，容易畏惧风险。,N,,{extra_escape_success_rate: 0.1}
18,OVERBEARING,霸道,FRIENDLY;TIMID,你行事强势，不讲道理，习惯以自己的利益为先。,N,,
19,CULTIVATION_OBSESSED,修行痴迷,FICKLE;LAZY;CASUAL,你将绝大多数时间用于修炼，厌恶享乐。,R,,"{extra_cultivate_exp: 30, extra_retreat_success_rate: 0.15}"
20,INTROVERTED,内向,EXTROVERTED,你更享受独处与自我思考，倾向回避不必要的社交。,N,,{extra_retreat_success_rate: 0.05}
21,EXTROVERTED,外向,ALOOF;INDIFFERENT;INTROVERTED,你乐于与人交流，主动结识伙伴。,N,,
22,MEAN,刻薄,FRIENDLY;ENTHUSIASTIC,你在对话中倾向以讽刺、嘲弄、挖苦的方式表达自己。,N,,
23,ENTHUSIASTIC,热情,ALOOF;INDIFFERENT;MEAN,你待人友好、积极回应，倾向用鼓励与赞美拉近距离。,N,,
24,EXTREMELY_RIGHTEOUS,极端正义,INTROVERTED;EXTREMELY_EVIL,你对邪恶深恶痛绝，对正义的理想抱有近乎偏执的追求。,SR,"avatar.alignment == ""RIGHTEOUS""",{extra_breakthrough_success_rate: 0.05}
25,EXTREMELY_EVIL,极端邪恶,INTROVERTED;EXTREMELY_RIGHTEOUS,你推崇权力与恐惧，为达目的不择手段。,SR,"avatar.alignment == ""EVIL""","{extra_breakthrough_success_rate: -0.05, extra_cultivate_exp: 20}"
26,OPEN_MINDED,开放,SHY,你对待和他人结为道侣或者双修比较随意,R,,{extra_dual_cultivation_exp: 30}
27,SHY,腼腆,OPEN_MINDED,你对待和他人结为道侣或者双修比较谨慎,N,,
28,SIMP,舔狗,ALOOF;INDIFFERENT;MEAN;SHY,你对异性中外貌出众者格外友善。,N,,
29,ENVIOUS,嫉妒,FRIENDLY;ENTHUSIASTIC,你对远超于你的人容易产生敌意。,N,,
30,TRANSMIGRATOR,穿越者,,你来自现代社会，怀念现代社会的一切。,SR,,
31,CHILD_OF_FORTUNE,气运之子,,天生气运加身，更易遇到奇遇。,SSR,,"{extra_fortune_probability: 0.02, extra_battle_strength_points: 2, extra_breakthrough_success_rate: 0.05}"
32,SWORD_FANATIC,剑痴,LAZY;TIMID,以剑入道，剑即是命。你认为剑道至上。,SR,,"[{when: 'avatar.weapon.type == ""SWORD""', extra_weapon_proficiency_gain: 1.0, extra_battle_strength_points: 3}]"
33,SCHEMING,心机深沉,RASH;ENTHUSIASTIC;EXTROVERTED,深藏不露，行事谨慎，善于算计。,R,,
34,LOYAL,忠诚,ALOOF;INDIFFERENT;MEAN,重承诺守信义，对认定的人绝不背叛。,R,,
35,RUTHLESS,狠辣,FRIENDLY;ENTHUSIASTIC;TIMID,行事果决狠辣，不留后患，斩草必除根。,N,,
36,REINCARNATOR,重生者,FICKLE;CASUAL,经历过一世，对未来有模糊预知。,SSR,,
37,SUSPICIOUS,疑心重,ENTHUSIASTIC;EXTROVERTED;FRIENDLY,对任何人都保持怀疑，不轻易信任。,N,,
38,BODY_CULTIVATOR,体修,LIFE_CHERISHING;TIMID,专注肉身淬炼，体魄强健，近战无敌。,R,,"[{when: 'avatar.weapon is None', extra_battle_strength_points: 5}]"
39,ALCHEMIST,炼丹师,AGGRESSIVE,精通丹道，对灵药敏感。,R,,{extra_refine_success_rate: 0.15}
40,BLESSED_WITH_GOOD_FORTUNE,福缘深厚,,天生福运，逢凶化吉。,SR,,"{extra_fortune_probability: 0.01, shop_buy_price_reduction: 0.1}"
41,SWORD_CULTIVATOR,剑修,LAZY,对剑道有着深厚的兴趣和独特的天赋。,R,,"[{when: 'avatar.weapon.type == ""SWORD""', extra_weapon_proficiency_gain: 0.5, extra_battle_strength_points: 1}]"
42,SABER_CULTIVATOR,刀修,LAZY,专精刀法，对刀道有着独特的理解。,R,,"[{when: 'avatar.weapon.type == ""SABER""', extra_weapon_proficiency_gain: 0.5, extra_battle_strength_points: 1}]"
43,SPEAR_CULTIVATOR,枪修,LAZY,精通枪法，百兵之王在手。,R,,"[{when: 'avatar.weapon.type == ""SPEAR""', extra_weapon_proficiency_gain: 0.5, extra_battle_strength_points: 1}]"
44,STAFF_CULTIVATOR,棍修,LAZY,棍棒在手，天下我有。,R,,"[{when: 'avatar.weapon.type == ""STAFF""', extra_weapon_proficiency_gain: 0.5, extra_battle_strength_points: 1}]"
45,MUSICAL_MASTER,音律大师,LAZY,精通音律之道，琴笛在手，可攻可守。,SR,,"[{when: 'avatar.weapon.type == ""ZITHER"" or avatar.weapon.type == ""FLUTE""', extra_weapon_proficiency_gain: 1.0, extra_battle_strength_points: 3}]"
46,HIDDEN_WEAPON_EXPERT,暗器高手,LAZY,擅长使用暗器，出手诡秘莫测。,R,,"[{when: 'avatar.weapon.type == ""HIDDEN_WEAPON""', extra_weapon_proficiency_gain: 0.5, extra_battle_strength_points: 1}]"
47,FAN_CULTIVATOR,扇修,LAZY,精通扇法，举手投足间尽显风流。,R,,"[{when: 'avatar.weapon.type == ""FAN""', extra_weapon_proficiency_gain: 0.5, extra_battle_strength_points: 1}]"
