id,name,desc,member_act_style,alignment,weight,preferred_weapon,effects,rank_names
,,Sect Name and Description,Sect Member Style,Alignment(Righteous/Neutral/Evil),Weight(Default 1),Preferred Weapon,"effects(JSON, see effects.py)",Custom Ranks(Sect Master;Elder;Inner;Outer)
1,Mingxin Sword Sect,"The number one sect in the east of the Tongxuan Realm, ruling the world with supreme sword path. The Cloud Pattern Array is their secret manual. [Sword Path Specialization] As a sword cultivator, your combat power is amazing when using sword-type weapons, and your comprehension speed in the sword path far exceeds ordinary people.","Pure and self-disciplined, consistent in action. Both heavy sword and heart method are prioritized, focusing on illuminating the heart and seeing the nature.",RIGHTEOUS,1,SWORD,"{extra_battle_strength_points: 3, extra_weapon_proficiency_gain: 0.5}",
2,Baishou Sect,"Famous for taming spiritual beasts, keeping various demonic beasts and monsters as combat power. [Beast Taming Master] You have a unique beast taming talent; capturing demonic beasts is easy for you, and you are good at driving beast groups to fight for you.","Direct speech, values strength and bloodiness, admires hunting and fighting.",EVIL,1,WHIP,"{extra_catch_success_rate: 0.25, extra_hunt_materials: 1}",Valley Master;Offering;Beast Tamer;Retainer
3,Shuijing Sect,"One of the ten righteous sects, but actually strictly neutral. Possesses the immortal realm treasure ""Heaven-Piercing Water Mirror"" to predict the future. [Seeking Luck and Avoiding Evil] You have extraordinary intuition, a broad vision, and are extremely likely to find encounters during exploration.","Calm and smooth in handling affairs, likes to overcome hardness with softness, good at borrowing power and counter-control.",NEUTRAL,1,FAN,"{extra_observation_radius: 2, extra_fortune_probability: 0.002, extra_refine_success_rate: 0.05}",Mirror Master;Mirror Keeper;Successor;Mirror Attendant
4,Mingwang Sect,"Walking the path of the underworld, with cold and fierce techniques. [Netherworld Access] You practice underworld laws with a firm mind, and when breaking through bottlenecks, you have no distractions, leading to a higher success rate.","Cold and emotionless in speech, awe of karma but unafraid of killing, favoring efficiency and results.",EVIL,1,FAN,{extra_breakthrough_success_rate: 0.1},Hall Master;Judge;Impermanence;Ghost Soldier
5,Zhugou Sect,"A major evil sect. Famous for artifact refining, mechanisms, and assassination, traditionally sinister and aloof. [Assassination Expert] You are proficient in stealth and assassination; for strong enemies, avoiding direct confrontation and seeking assassination is often your best winning strategy.","Facing desires and costs directly, unafraid of darkness, excelling in offensive techniques.",EVIL,1,HIDDEN_WEAPON,"{extra_assassinate_success_rate: 0.15, extra_battle_strength_points: 1, extra_cast_success_rate: 0.05}",Tower Master;Executioner;Shadow Assassin;Spy
6,Hehuan Sect,"Entering the Dao through emotion, increasing cultivation through dual cultivation, good at manipulating people's hearts and long in power changes. [Dual Cultivation Secret Technique] Your constitution is special; through dual cultivation, you can gain cultivation improvements far exceeding ordinary people, which is your best shortcut to raising your realm.","Elegant speech, good at grasping human desires and situations, overcoming hardness with softness.",NEUTRAL,1,ZITHER,"{extra_dual_cultivation_exp: 150, shop_buy_price_reduction: 0.1}",Palace Master;Guardian;Enchantress;Attendant
7,Zhenhun Sect,"Iron-blooded style, good at calming souls, sealing evil, and delivering from distress, with fierce suppressing techniques. [Indestructible Vajra] You practice body protection divine skills, possessing extremely strong physical defense and damage reduction abilities, as immovable as a mountain.","Solemn and steady, values soul calming and evil suppression, few words but decisive.",RIGHTEOUS,1,STAFF,"{extra_max_hp: 100, damage_reduction: 0.15}",Abbot;Chief;Ascetic;Layman
8,Ghost Soul Shadow Devouring Sect,"The sect's core manual is the ""Underworld Record"". Underworld qi is the foundation. [Always Following as a Shadow] You are extremely good at movement and escape techniques, always able to retreat safely from danger, and can also seek opportunities to assassinate isolated enemies.","Secretive and decisive, values results over fame, good at stealth and unexpected attacks.",EVIL,1,SABER,"{extra_escape_success_rate: 0.4, extra_assassinate_success_rate: 0.15}",Gate Master;Guardian;Shadow Guard;Spy
9,Thousand Sails City,"A major artifact refining sect, where skilled craftsmen gather. Famous artifacts include Soul-Extinguishing Silk and Soul-Fixing Blue Star. Merchants gather and it's self-sufficient. [Divine Craftsmanship] You are well-versed in artifact refining and business; nurturing weapons often transforms them, and you always profit in trades.","Practical and shrewd, values trade and reputation, admires rules and order.",NEUTRAL,1,SPEAR,"{extra_item_sell_price_multiplier: 0.05, extra_weapon_upgrade_chance: 0.15, extra_cast_success_rate: 0.05, shop_buy_price_reduction: 0.05}",City Lord;Great Offering;Deacon;Apprentice
10,Miaohua Sect,"Specializes in musical killing and mental control, with treacherous and feminine techniques, using invisible zither sounds to disturb people's minds and kill invisibly. [Demonic Sound in Ears] You are good at disturbing people's minds with music, with deep and long-lasting spiritual power; although not good at physical combat, your methods are treacherous.","Deception hidden deep within elegant and ethereal appearance, likes to control situations with words and music, killing without a trace of smoke.",EVIL,1,ZITHER,"{extra_escape_success_rate: 0.5, extra_misfortune_probability: -0.005}",
11,Huixuan Sect,"The world's number one array sect, unique with arrays and array formulas, focusing on array deduction and clever use. [Array Qi Gathering] You are good at using arrays to assist cultivation, able to gather heaven and earth spiritual qi, with cultivation speed faster than ordinary people and frequent unexpected gains.","Rigorous and meticulous, pursuing technical perfection, good at counter-controlling enemies with back-hand arrays in battle, moving step by step.",RIGHTEOUS,1,HIDDEN_WEAPON,"{cultivate_duration_reduction: 0.1, extra_fortune_probability: 0.005}",
12,Sleepless City,"Practicing Aurora Mystic Truth Law, famous for the absolute defense of the Ten-Thousand-Mile Aurora Wall. [Never Ending Life] Your vitality is extremely tenacious, with doubled healing effects and lifespan far exceeding cultivators of the same rank.","Tough and tenacious, seeking strength in adversity, acting openly but also with deep foresight, extremely protective of their own.",RIGHTEOUS,1,FAN,"{extra_hp_recovery_rate: 0.5, extra_max_lifespan: 20}",City Lord;Elder;Commander;Night Watcher
13,Tianxingjian Sect,"Specializes in Haoran Qi, acting openly and righteously, firm and decisive, with strong restraint against evil and unorthodox ways. [Haoran Righteous Qi] You nurture Haoran Qi, with long qi pulses; when facing enemies of lower realm, you can exert extremely strong suppression.","Abiding by principles, valuing morality, taking the lead in eliminating demons and defending the Dao, rather breaking than bending.",RIGHTEOUS,1,SWORD,{realm_suppression_bonus: 0.15},
14,Shimo Sect,"The number one demonic sect in the Tongxuan Realm, acting overbearingly and cruelly, good at searching for essence and devouring blood and physical demonic skills. [Habitual Plunder] You admire strength and plundering; although plundering mortals harms heaven and harmony, it brings you amazing wealth and resources.","Respecting the strong, following whims, admiring absolute power and slaughter, viewing all living beings as blood food.",EVIL,1,SABER,"{extra_plunder_multiplier: 2.0, extra_battle_strength_points: 2}",
