id,name,desc,sect_id
ID starts with 4 (400+sect_id),Sect Base Name,Sect Base Description,Corresponding Sect ID
401,Lianxia Mountain,"Below the Zuowang Peak of Lianxia Mountain, it is the main peak of the famous immortal mountain. It features a place for disciples to cultivate, with a tranquil environment.",1
402,Xuanling Cave,"Located deep in the One Hundred Thousand Mountains, the cave dwelling is carved into a thousand-zhang high spiritual mountain, with an entrance as wide as a hundred zhang, shaped like a wild beast's open mouth. The interior is crisscrossed with ninety-nine layers of grotto-heavens, each housing different grades of spiritual and demonic beasts.",2
403,Bibo Lake,"The Shuijing Sect is built on three immortal islands in the center of Bibo Lake, with water as clear as a mirror and calm all year round. The three islands are connected by crystal long bridges, and the palaces and pavilions are built of crystal and colored glaze, completely transparent and reflected in the lake, making it hard to distinguish reality from illusion.",3
404,Seven Ghost Horns,"The Mingwang Sect is located on the Seven Ghost Horns archipelago, surrounded by the sea on all sides with hidden reefs everywhere. Between the rising and falling of giant waves and mad tides, numerous daunting undercurrent vortices are formed around the reefs. Over thousands of years, countless fierce ghosts have been cast around the islands; when the waves howl, ten thousand ghosts cry together, blotting out the sun.",4
405,Mingyu Mountain,"Mingyu Mountain is entirely composed of rare Mingyu stone, the mountain body showing a strange blue-white color, emitting a cold glow under moonlight. The palaces and pavilions in the mountain are all built of jade stone, appearing magnificent but hiding killing intent everywhere. Mechanisms are layered between the buildings with dense secret passages.",5
406,Peach Blossom Island,"The Hehuan Sect is located on Peach Blossom Island in the East Sea, where peach blossoms bloom in all four seasons and never wither, with petals dancing in the wind and covering the entire immortal island. The sect buildings are mainly in pink tones, with carved beams and painted rafters, extremely luxurious. Mist swirls between the palaces and pavilions, with pairs of disciples faintly visible cultivating within.",6
407,Luohun Sea,"Located in the extreme southern sea. The Luohun Sea is often troubled by demonic beasts, and the sea area is dangerous. The sect buildings stand on reef islands in the sea, centered around the Soul Suppressing Bell, whose chime can intimidate demonic souls within a thousand miles.",7
408,Guimen Lake,"Guimen Lake is located deep in the primitive forest, in a plain surrounded by massive mountains. Towering trees, entangling vines, miasma floating all day long, and layers of mist created by the sect's secret methods completely isolate this place from the outside world, letting in no light.",8
409,Tianxing Sea,"Thousand Sails City is built on a giant floating island in the center of the Tianxing Sea, the entire city composed of countless artifacts spliced together. On the sea surface outside the city, thousands of artifact spirit boats are anchored, with masts like forests, a magnificent sight. High towers stand in the city, each with an alchemy furnace fire that never goes out day or night, and smoke columns reaching the sky.",9
410,Xinyuan Garden,"Like spring in all four seasons, with hundreds of flowers never withering. Pavilions and towers are scattered in the garden, and the sounds of silk and bamboo never cease all day long. It appears like a paradise on earth, but actually hides numerous sound-killing arrays.",10
411,Zhuyin Mountain,"Zhuyin Mountain is shrouded in mist, the mountain terrain dark and unclear. The entire mountain range is covered by numerous overlapping arrays; every step is a scene, every step a danger. Without a passage token, an outsider would get lost in half a step.",11
412,Daqian Aurora City,"Shrouded in magnificent auroras all year round. The city is cast from ten-thousand-year cold ice and black iron, shimmering under the vast aurora like a miracle, the only warm place in the extreme cold land.",12
413,Haoran Peak,"Located in the center of the Tongxuan Realm, the mountain is majestic and upright, piercing into the clouds. The peak is shrouded in vast white clouds and purple qi from the east year-round, and the sound of reading can be heard for ten miles, the gathering place for the world's righteous spirit.",13
414,Xiankong Mountain,"A treacherous mountain range in the far west, with terrain like crisscrossed dog teeth, poor mountains and evil waters. Blood mist often fills the mountain, with rugged stones and desiccated animal bones everywhere, making people flee at the mere mention of its name.",14
