id,name,desc,member_act_style,alignment,weight,preferred_weapon,effects,rank_names
,,宗门名称与描述,宗门成员行事风格,阵营(正/中立/邪),权重(默认1),倾向兵器类型,"effects(JSON形式，支持宽松格式，见effects.py说明)",自定义职位(掌门;长老;内门;外门)
1,明心剑宗,通玄界东方第一宗，以无上剑道称雄于世。云纹禁制为不传心法。,清明克己，行止如一。重剑与心法并重，讲究明心见性。,正,1,剑,,
2,百兽宗,以驯养灵兽闻名，豢养各种妖兽灵怪为战力。,言语直接，重视力量与血性，崇尚狩猎与搏斗。,邪,1,鞭,,谷主;供奉;驭兽师;扈从
3,水镜宗,正道十宗之一，实则严守中立。拥有仙界异宝"彻天水镜"可预知未来。,处事冷静圆融，喜以柔克刚，擅借力与反制。,中立,1,扇,,镜主;掌镜人;传人;侍镜
4,冥王宗,行走幽冥之道，术法阴冷狠厉。,言辞冷厉少情，敬畏因果而不惧杀伐，偏向效率与结果。,邪,1,扇,,殿主;判官;无常;鬼卒
5,朱勾宗,邪宗大派。以炼器、机关、暗杀闻名于世，素来阴毒冷僻。,直面欲望与代价，不惧黑暗，以攻伐见长。,邪,1,暗器,,楼主;掌刑使;影刺;探子
6,合欢宗,以情入道，靠双修增进修为，善驭人心，长于权变。,辞令婉转，善于拿捏人欲与局势，以柔制刚。,中立,1,琴,{legal_actions: ['DualCultivation']},宫主;护法;媚仙;侍童
7,镇魂宗,铁血风格，擅安魂、封邪、渡厄，兼有刚烈镇压之术。,肃穆沉稳，重安魂镇邪，少言而果决。,正,1,棍,,住持;首座;行者;居士
8,幽魂噬影宗,镇宗典籍《幽冥录》。幽明气为根基。,行事隐秘果断，重结果轻虚名，擅潜行与出其不意。,邪,1,刀,,门主;护法;影卫;探子
9,千帆城,炼器大宗，巧匠云集。著名法宝有灵灭丝、定魂蓝星、天罗网、万里极光壁、飞翼等。商旅云集，自成体系。,务实精明，重交易与信誉，崇尚规则与秩序。,中立,1,枪,,城主;大供奉;执事;学徒
10,妙化宗,精擅音律杀伐与精神操控，功法诡谲阴柔，以无形琴音乱人心智，杀人于无形。,文雅缥缈中深藏算计，喜用言语与音律掌控局势，杀伐不沾烟火气。,邪,1,琴,,宗主;琴侍;乐师;听众
11,回玄宗,当世第一禁法大派，以禁制阵诀独步天下，讲究禁法推演与巧思妙用。,严谨细致，追求技术极致，战斗中擅长以后手禁制反制敌人，步步为营。,正,1,暗器,,掌教;禁师;阵法师;学徒
12,不夜城,曾为正道魁首，修习极光玄真法，以万里极光壁的绝对防御闻名于世。,坚韧顽强，在逆境中图强，行事光明磊落但也深谋远虑，极其护短。,正,1,扇,,城主;阁老;执令;守夜人
13,天行健宗,专修浩然之气，行事正大光明，刚健果决，对邪魔外道有极强的克制力。,恪守原则，讲究道义，除魔卫道一马当先，宁折不弯。,正,1,剑,,宗主;先生;君子;学子
14,噬魔宗,通玄界第一魔宗，行事霸道残忍，擅长搜精噬血与肉体魔功。,强者为尊，随心所欲，崇尚绝对的力量与杀戮，视众生为血食。,邪,1,刀,,魔主;魔将;血卫;魔徒
